"ENSG00000154262","ABCA6"
"ENSG00000234947","STK19"
"ENSG00000236250","STK19"
"ENSG00000135090","TAOK3"
"ENSG00000065882","TBC1D1"
"ENSG00000152284","TCF7L1"
"ENSG00000100721","TCL1A"
"ENSG00000099797","TECR"
"ENSG00000132604","TERF2"
"ENSG00000168769","TET2"
"ENSG00000172073","TEX37"
"ENSG00000090534","THPO"
"ENSG00000066056","TIE1"
"ENSG00000188807","TMEM201"
"ENSG00000121775","TMEM39B"
"ENSG00000164841","TMEM74"
"ENSG00000143549","TPM3"
"ENSG00000211751","TRBC1"
"ENSG00000281981","TRBC1"
"ENSG00000163462","TRIM46"
"ENSG00000168930","TRIM49"
"ENSG00000176979","TRIM60"
"ENSG00000116525","TRIM62"
"ENSG00000158457","TSPAN33"
"ENSG00000163728","TTC14"
"ENSG00000112041","TULP1"
"ENSG00000168454","TXNDC2"
"ENSG00000176912","TYMSOS"
"ENSG00000154277","UCHL1"
"ENSG00000147854","UHRF2"
"ENSG00000011260","UTP18"
"ENSG00000127578","WFIKKN1"
"ENSG00000206579","XKR4"
"ENSG00000124571","XPO5"
"ENSG00000086666","ZFAND6"
"ENSG00000184517","ZFP1"
"ENSG00000175787","ZNF169"
"ENSG00000171425","ZNF581"
"ENSG00000197128","ZNF772"
